name|contaminant_Gaia_DR3_id|angDist|Gmag
TIC 471011144|5877724974431823360|1.763552|20.252535
TIC 471011144|5877724974431823744|3.111297|20.18516
TIC 471011144|5877724974403476864|6.532341|17.96512
TIC 471011144|5877725180587262208|6.676505|18.53974
TIC 471011144|5877724974403178496|7.285097|17.195761
TIC 471011144|5877748442133128960|7.442895|19.13418
TIC 471011145|5877748442133074816|4.484037|20.428917
TIC 471011145|5877748442133076864|6.632318|20.392218
TIC 471011145|5877748442111772672|7.405878|15.110233
TIC 471011145|5877748442133078528|8.995405|20.206202
TIC 471011145|5877748442133076736|9.242689|20.380663
TIC 471011145|5877748648273789312|9.484495|19.167536
TIC 267211065|4683891741594914304|9.851971|19.71957
TIC 367758676|1244946371540479616|5.607894|2.558358
TIC 161739042|6127791439360208640|3.037437|2.227056
TIC 91329515|93806419367307904|2.195766|4.634965
TIC 91329515|93806419367308544|5.825492|4.562396
TIC 8200881|754644862217132160|2.590421|4.139052
TIC 311092847|3263836568394170880|8.412588|4.141093
TIC 350347140|3818309974360005888|5.736329|4.555182
TIC 283819432|1588936345294751872|5.207272|5.486304
TIC 426452677|5835692225494862336|7.49201|17.377577
TIC 426452677|5835692225477140352|7.718771|15.680329
TIC 252191219|411413925155414272|5.875773|19.30555
TIC 252191219|411413925151467136|7.429911|20.137526
TIC 522415725|2517584007848935808|1.854873|4.155459
TIC 154385728|5975663422851359744|4.488101|19.511404
TIC 154385728|5975663422852027904|5.359647|19.421827
TIC 154385728|5975663422853643776|6.35704|20.275755
TIC 154385728|5975663422846819712|7.150879|16.513762
TIC 154385728|5975663422846820480|7.227239|17.610872
TIC 154385728|5975663422846195328|9.699078|19.801771
TIC 428698700|3505870654267263232|2.397431|6.020363
TIC 318163669|5865760260666511488|7.406729|18.58177
TIC 318163669|5865760260647223808|9.203073|20.308981
TIC 67906570|972915817458962688|2.789772|6.220226
TIC 194303203|2877522230262577024|5.459198|6.082332
TIC 514768737|4432032213656433536|1.420115|4.15409
TIC 152972531|4850405974392619648|0.184065|6.560245
TIC 152972531|4850405974392311296|3.665296|8.696781
TIC 286305421|2196555440363174144|1.671266|6.933233
TIC 286305421|2196555440363172736|5.232964|19.496305
TIC 286305421|2196555440362546048|8.623283|20.096228
TIC 1961255595|1964791583368233088|0.880467|3.70454
TIC 471013491|6501792243682481920|0.696008|5.075102
TIC 471013491|6501792243681702656|9.773748|17.555655
TIC 97600027|680022210631907456|2.497915|6.155982
TIC 97600027|680022210631907840|2.816586|6.232098
TIC 506939512|6541802406664428672|1.596217|4.309135
TIC 256056579|5803875962345502848|1.757266|7.107185
TIC 256056579|5803875966645049600|1.911489|7.19117
TIC 504952282|216718178536050176|1.046417|3.842228
TIC 403736183|5379712452554128896|0.275657|8.438607
TIC 403736183|5379712452551458560|7.584905|19.386206
TIC 165558925|3459624576730048256|6.234136|7.097797
TIC 264595454|3155322570396114688|1.877224|7.180487
TIC 518659900|2232894437098037888|1.13606|4.260484
TIC 416187721|285317808507191808|2.526996|11.121428
TIC 416187721|285317877224848384|5.716974|16.539394
TIC 416187721|285317808507191936|7.799452|5.938819
TIC 86519791|6719878657084606336|0.800047|9.721075
TIC 86519791|6719878657084604928|3.420523|6.147855
TIC 25300818|6813759564048571648|7.817151|15.23197
TIC 304379559|2163558855915068416|4.960742|7.431637
TIC 304379559|2163558855915069824|7.488158|11.583294
TIC 304379559|2163558855890818944|8.664793|19.731121
TIC 304379559|2163558855896040704|9.190033|17.183573
TIC 520725468|3915612630249291008|0.95199|3.907387
TIC 435816192|2020576955082875520|0.312844|8.15869
TIC 435816192|2020576955068732544|8.736245|18.705549
TIC 32542038|6268770373590148224|5.286639|7.035969
TIC 88348779|5076269164798851712|0.670357|7.810227
TIC 471012437|2891185070986964608|9.092011|8.51837
TIC 161335008|6515008648326313344|0.25003|7.574068
TIC 466779616|1735416582883997056|8.956723|19.132576
TIC 466779616|1735416587179200768|9.176811|19.8312
TIC 185994898|2082564946748145664|4.703789|18.02866
TIC 185994898|2082564946750669952|4.990998|8.377375
TIC 131039814|6160219129628693888|0.270189|8.117075
TIC 436278486|6056780030629135872|0.265791|12.966459
TIC 436278486|6056780030678671360|0.760703|12.482321
TIC 436278486|6056780030664340736|4.37656|6.703452
TIC 436278486|6056780030664786944|4.379309|19.642342
TIC 436278486|6056780030664834048|5.356301|19.812563
TIC 436278486|6056780030632860800|7.388424|19.429838
TIC 436278486|6056780030632931200|8.442077|19.18428
TIC 436278486|6056780030633010944|8.499329|17.744509
TIC 436278486|6056780030678672000|8.527575|17.374273
TIC 436278486|6056780030678671104|8.973395|20.956758
TIC 436278486|6056780030664815744|9.002754|20.970695
TIC 436278486|6056779961911332352|9.125906|null
TIC 436278486|6056780030664345088|9.241795|20.665194
TIC 436278486|6056780030664345344|9.406692|19.740395
TIC 436278486|6056780030664345216|9.729423|20.083847
TIC 514810889|3300128870247575424|1.273017|4.703866
TIC 950553243|1576850723937017216|0.790574|4.885962
TIC 166650822|6477350546874615808|3.952187|6.938807
TIC 166650822|6477350546875483648|6.643916|20.453632
TIC 903621263|3990320597065899776|0.102518|2.571632
TIC 54234694|670853314448533888|9.580781|7.456192
TIC 371477593|2007176176083408640|3.60881|8.176756
TIC 371477593|2007176176084911488|4.180156|18.139151
TIC 180872237|4988043149195248512|1.170707|10.98426
TIC 180872237|4988043149195248640|4.498335|7.208007
TIC 284322437|3386123083403623168|0.195107|6.232574
TIC 284322437|3386123083405937664|0.668651|7.872024
TIC 284322437|3386123083407030784|6.832869|18.243452
TIC 284322437|3386123079113279360|9.495551|17.652422
TIC 470566146|197038672748747264|0.195793|8.487093
TIC 470566146|197038741467338496|4.381181|17.364336
TIC 92357813|5101578445000656128|9.908948|7.812197
TIC 871982|5645896314900766208|0.234861|9.459059
TIC 871982|5645896314900763392|3.299496|12.9826
TIC 871982|5645896314905650944|8.994077|19.384657
TIC 871982|5645896413686619904|9.106852|20.692739
TIC 408816164|653032704866878464|0.214549|8.262668
TIC 408816164|653032704866193024|5.45542|10.640731
TIC 506798310|4091210409716888704|1.585339|4.336602
TIC 414587194|2007876324466455040|1.420096|8.669386
TIC 414587194|2007876324468462848|8.157129|20.163588
TIC 620343864|105599987245451136|2.17777|null
TIC 620343864|105599987245304192|2.672881|5.676262
TIC 240283563|1971397414874318848|3.448637|21.120834
TIC 240283563|1971397414874318976|4.920022|17.895502
TIC 240283563|1971397414873459328|7.525762|18.671589
TIC 240283563|1971397483594534528|7.569458|19.687218
TIC 240283563|1971397414874314112|8.008551|18.88714
TIC 240283563|1971397036928993920|8.184637|17.600504
TIC 240283563|1971397414886115840|8.841679|7.720907
TIC 240283563|1971397483603033856|9.559073|20.74814
TIC 308411727|4581169730328963328|1.327987|8.314965
TIC 7059928|652508718853720576|4.722044|8.494656
TIC 7059928|652508718854174336|6.757228|21.217113
TIC 330690137|607348473471575296|1.421128|12.433846
TIC 330690137|607348477764505856|3.074003|7.777874
TIC 10024835|907582084918527872|0.415296|8.461258
TIC 10024835|907582050558533632|4.999307|17.548952
TIC 283994667|5667757560993680896|4.115374|7.137579
TIC 502687433|2867726990408448896|0.865153|4.723945
TIC 318686860|3139847906307634304|7.866107|20.956364
TIC 318686860|3139847906306412160|7.97901|20.090015
TIC 367074022|2280695945634332288|0.590427|8.570069
TIC 367074022|2280695945633190912|7.480916|20.136312
TIC 367074022|2280695945633005824|9.265364|21.062359
TIC 160113218|2306350197607656832|0.008511|9.172244
TIC 160113218|2306350197608100608|4.419569|20.209881
TIC 29274832|3427539762280259072|0.068253|8.70359
TIC 29274832|3427539762277324416|9.222954|15.699593
TIC 255614397|5550790105282715392|9.863143|14.876773
TIC 291026328|1857433515687634944|3.824655|17.371128
TIC 291026328|1857433412613382400|4.381948|8.689178
TIC 291026328|1857433515689134208|7.971152|19.400843
TIC 5740740|2407105148208865536|0.003255|10.05612
TIC 281982982|3320207567477919488|2.743307|9.560182
TIC 201126060|4060968548575142400|0.4109|16.853411
TIC 201126060|4060968544186067584|3.783899|7.587284
TIC 201126060|4060968548575056640|4.468006|18.755316
TIC 201126060|4060968548605746048|6.775297|17.604307
TIC 201126060|4060968548575081088|6.82129|18.821938
TIC 201126060|4060968548574984064|7.489499|18.96595
TIC 201126060|4060968548575097600|7.58228|16.042414
TIC 201126060|4060968544197738624|8.368898|17.564627
TIC 201126060|4060968342405448320|8.90259|19.542248
TIC 201126060|4060968548575266944|9.939183|20.940266
TIC 230168624|1787990521640615168|0.047351|17.794067
TIC 230168624|1787990525934491776|5.851463|7.231156
TIC 38446629|5115486614256641536|1.637658|14.698613
TIC 38446629|5115486545537710976|3.755212|7.537775
TIC 99143515|3488911718200312704|4.354195|12.262332
TIC 99143515|3488911718201071616|8.471756|7.308208
TIC 38450015|5649832012473989120|1.617732|13.362656
TIC 38450015|5649832115551458688|3.863203|8.134434
TIC 38450015|5649832016770037632|5.370807|20.558239
TIC 464574276|5255601847774716032|0.146924|8.664829
TIC 464574276|5255601847775228416|6.12068|19.420124
TIC 2053193606|2756363608023588864|0.78407|3.999258
TIC 139606083|5406705256876354176|0.262352|9.448007
TIC 139606083|5406705359957486080|4.164255|21.70454
TIC 139606083|5406705325588039936|4.892482|19.117273
TIC 139606083|5406705359957490816|6.70177|19.312037
TIC 139606083|5406705325588034048|8.754275|20.015799
TIC 139606083|5406705359956307328|9.247923|20.865318
TIC 139606083|5406705256868562560|9.979149|16.738405
TIC 524115715|5848315134292102272|0.748739|5.6174
TIC 524115715|5848315134294416512|5.027297|16.958654
TIC 524115715|5848315134292315776|9.657832|17.499981
TIC 351699901|4568850252298719872|3.812384|9.440329
TIC 351699901|4568850248001808384|5.777899|17.119064
TIC 458859916|5350358584482216064|3.551976|13.001064
TIC 471013492|6366949507746112512|3.906764|7.475243
TIC 264595340|3155297758368862592|0.468785|12.149869
TIC 264595340|3155297762665048704|3.575048|8.418225
TIC 520137117|1755320049747788160|0.475078|4.015604
TIC 97086494|5946700912209733504|1.141819|13.383957
TIC 97086494|5946700912209734272|3.202388|7.879159
TIC 97086494|5946700912211944832|5.821258|17.300339
TIC 97086494|5946700912211946752|8.560175|18.919294
TIC 97086494|5946700912209733632|8.591191|19.659811
TIC 97086494|5946700912210490624|9.298806|18.810263
TIC 97815168|3534414594600352896|1.490059|9.267609
TIC 97815168|3534414590303807232|1.649814|9.026258
TIC 97815168|3534417549537055488|9.073379|20.443308
TIC 48658373|2923979963793387520|1.077875|8.808146
TIC 48658373|2923979963794463872|1.655591|8.96465
TIC 425288236|2023570066257310336|0.404262|11.725599
TIC 425288236|2023570066239194880|0.596154|11.851968
TIC 425288236|2023570066253695616|2.242878|17.330395
TIC 425288236|2023570066253033984|4.015439|8.165637
TIC 425288236|2023570066242201856|4.60817|18.515984
TIC 630578178|2586478203854703104|0.560279|7.033542
TIC 84331853|66969676998824576|3.634461|9.013485
TIC 84331853|66969676998825216|6.121719|17.667788
TIC 160535836|1703749415347422592|0.399207|9.136342
TIC 158851047|4582419290939565056|0.086037|9.031056
TIC 311865516|4781692819848661248|2.547309|20.005629
TIC 311865516|4781692884271236608|4.174054|9.929983
TIC 29922518|2453482445590548352|4.722179|9.509685
TIC 141276792|3961330564251371392|1.379723|9.508714
TIC 302437136|4490258432454872960|0.227839|9.079295
TIC 287081516|1237693065130209408|5.053681|9.118815
TIC 500151505|3214077516844988800|1.046958|3.61537
TIC 500151505|3214077512549609728|1.46945|4.940234
TIC 79410842|3431411314521128576|4.289118|9.621699
TIC 79410842|3431411314518373504|4.35931|17.439468
TIC 388509383|2287467116193496192|8.592411|18.793785
TIC 384708922|5774536628431316224|1.241344|17.837536
TIC 384708922|5774536632727299968|4.818856|8.503738
TIC 384708922|5774536632724700032|7.701493|16.969002
TIC 90585844|2055052039080762624|2.33496|20.444046
TIC 90585844|2055052039077392896|4.344031|18.680567
TIC 90585844|2055052039102139904|4.568094|8.772027
TIC 90585844|2055052039102687104|6.022953|20.326406
TIC 90585844|2055052039077402496|9.383337|20.709452
TIC 90585844|2055052039108523136|9.3972|18.680603
TIC 90585844|2055052039079796096|9.872034|20.985703
TIC 323857395|4294093463467311872|1.795526|10.591211
TIC 323857395|4294093459140708736|2.260787|8.021214
TIC 323857395|4294093463473601408|6.826347|19.410202
TIC 323857395|4294093463473601920|8.483398|19.837702
TIC 323857395|4294093463467310720|9.077847|15.144464
TIC 323857395|4294093463444403456|9.463953|18.462431
TIC 958073811|5845211384770371584|0.806663|7.022144
TIC 958073811|5845211384766985984|7.797499|19.553001
TIC 958073811|5845211384766859904|9.066157|19.80953
TIC 154728907|5979643036532398080|0.559855|17.394047
TIC 154728907|5979643032171299072|4.360012|8.390044
TIC 154728907|5979644513986126592|7.449259|20.730083
TIC 259476486|4778035908597252736|0.143168|9.015018
TIC 259476486|4778035912892344704|0.557222|9.214175
TIC 1525321|3748158830405407104|2.003763|8.919897
TIC 1525321|3748158830404720640|7.126972|14.576744
TIC 254526194|5988906181445959808|0.247301|9.153395
TIC 254526194|5988906181443224192|5.720981|19.482628
TIC 254526194|5988906181443252480|6.475549|20.491695
TIC 254526194|5988906181443034624|6.798963|20.00547
TIC 254526194|5988906181442875136|8.9122|18.097513
TIC 254526194|5988906181431107840|9.704979|20.688946
TIC 254526194|5988906181442778496|9.793747|19.602844
TIC 139023644|6679053481088342528|8.785673|13.940215
TIC 504914683|6828125061423674752|0.862495|3.530039
TIC 71105677|1008145514340037376|4.04904|9.737088
TIC 426439059|4098783948849865344|4.172684|21.281559
TIC 426439059|4098783948851548160|8.210929|19.646769
TIC 426439059|4098783944559931520|8.923872|19.425539
TIC 426439059|4098783944559932800|9.270295|19.130526
TIC 426439059|4098783948878796416|9.487214|20.20018
TIC 426439059|4098783948851549184|9.731276|19.869841
TIC 260357221|6887818990804567424|0.470671|9.231231
TIC 321573830|4060812795826133120|0.883186|16.553989
TIC 321573830|4060812791489843072|4.617431|7.176475
