star_name|ra|dec|ra_J2016|dec_J2016|tic_id|gaia_dr2_id|gaia_dr3_id|hip_name|tm_name|tyc_name|wds_designation|simbad_name|source_list_fl|sy_pmra|sy_pmraerr|sy_pmdec|sy_pmdecerr|sy_pmsrc|sy_pm_reflink|sy_ujmag|sy_ujmagerr|sy_ujmagsrc|sy_ujmag_reflink|sy_bmag|sy_bmagerr|sy_bmagsrc|sy_bmag_reflink|sy_vmag|sy_vmagerr|sy_vmagsrc|sy_vmag_reflink|sy_rcmag|sy_rcmagerr|sy_rcmagsrc|sy_rcmag_reflink|sy_icmag|sy_icmagerr|sy_icmagsrc|sy_icmag_reflink|sy_jmag|sy_jmagerr|sy_jmagsrc|sy_jmag_reflink|sy_hmag|sy_hmagerr|sy_hmagsrc|sy_hmag_reflink|sy_kmag|sy_kmagmerr|sy_kmagsrc|sy_kmag_reflink|sy_tmag|sy_tmagerr|sy_gaiamag|sy_gaiamagerr|sy_gaiamagsrc|sy_gaiamag_reflink|sy_bpmag|sy_bpmagerr|sy_rpmag|sy_rpmagerr|sy_plx|sy_plxerr|sy_plxsrc|sy_plx_reflink|sy_dist|sy_disterr|sy_distsrc|sy_dist_reflink|ambiguous_dist_fl|st_spectype|st_spectype_reflink|dwarf_fl|st_teff|st_tefferr|st_teffsrc|st_teff_reflink|st_logg|st_loggerr|st_loggsrc|st_logg_reflink|st_loggspec|st_loggspecerr|st_loggspecsrc|st_loggspec_reflink|st_met|st_meterr|st_metsrc|st_met_reflink|st_lum|st_lumerr|st_lumsrc|st_lum_reflink|st_rad|st_raderr|st_radsrc|st_rad_reflink|st_mass|st_masserr|st_masssrc|st_mass_reflink|uncertain_M_flag|st_age|st_ageerr|st_agesrc|st_age_reflink|contaminant_fl|brightest_sep|brightest_Gmag|brightest_id|nearest_sep|nearest_Gmag|nearest_id|known_binary_fl|gaia_binary_fl|wds_comp|wds_sep|wds_deltamag|GCNS_companion|GCNS_sep|GCNS_mag_diff|sy_planets_flag|hostname
TIC 459832522|213.915338|19.182202|null|null|459832522|null|null|69673|2MASS J14153968+1910558|1472-01436-1|WDS J14157+1911A|* alf Boo|tic_near|-1093.0|8.0|-1999.0|8.0|TIC tic7|2019AJ....158..138S|2.46|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|1.18|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|-0.05|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|-1.03|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|-1.68|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|-2.252|0.157|TIC|2019AJ....158..138S|-2.81|9.996|TIC|2019AJ....158..138S|-2.911|0.17|TIC|2019AJ....158..138S|-1.254|0.167|null|null|null|null|null|null|null|null|88.83|0.54|TIC hip|2019AJ....158..138S|11.257458065968704|0.06843439553780367|TIC plx hip|2019AJ....158..138S|0|K1.5IIIFe-0.5|1989ApJS...71..245K|0|4295.0|9.0|Pastel|2022A&A...663A...4S|1.6053278628964351|0.019727405570539026|calculated_from_M_and_R|Calculated Value|1.67|0.05|Pastel|2022A&A...663A...4S|-0.55|0.01|Pastel|2022A&A...663A...4S|2.2830749747354715|0.004401786176664034|Stock2018|2018A&A...616A..33S|25.018645639478063|0.16452652679210347|calc_from_L_and_Teff|Calculated Value|0.92|0.040000000000000036|Stock2018|2018A&A...616A..33S|0|8.709635899560796|1.1714901594339953|Stock2018|2018A&A...616A..33S|null|null|null|null|null|null|null|1|0|A|0.3|3.33|null|null|null|0|null
TIC 245873777|68.980213|16.509084|null|null|245873777|null|null|21421|2MASS J04355524+1630331|1266-01416-1|WDS J04359+1631A|* alf Tau|tic_near|63.0|8.0|-189.0|8.0|TIC tic7|2019AJ....158..138S|4.32|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|2.4|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|0.86|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|-0.37|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|-1.31|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|-2.095|0.194|TIC|2019AJ....158..138S|-2.775|0.17|TIC|2019AJ....158..138S|-3.044|0.14|TIC|2019AJ....158..138S|-1.2|0.209|null|null|null|null|null|null|null|null|48.94|0.77|TIC hip|2019AJ....158..138S|20.43318348998774|0.32148654040234087|TIC plx hip|2019AJ....158..138S|0|K5+III|1989ApJS...71..245K|0|3902.6|null|TIC|2019AJ....158..138S|1.1210763012431721|null|calculated_from_M_and_R|Calculated Value|null|null|null|null|-0.3783|0.0183|TIC|2019AJ....158..138S|2.605585145784423|0.01136730212887176|Stock2018|2018A&A...616A..33S|43.92756573407304|null|calc_from_L_and_Teff|Calculated Value|0.93|0.02999999999999997|Stock2018|2018A&A...616A..33S|0|9.549925860214369|0.8161194767309523|Stock2018|2018A&A...616A..33S|null|null|null|null|null|null|null|1|0|A|31.6|12.75|null|null|null|1|alf Tau
TIC 470566146|84.308634|43.646587|null|null|470566146|null|null|null|2MASS J05371407+4338477|2922-02012-1|WDS J05372+4339AB|HD  36928|tic_bright|1.5|0.9|-4.2|1.0|TIC tic7|2019AJ....158..138S|null|null|null|null|9.2|0.02|Simbad 2000A&A...355L..27H|2000A&A...355L..27H|8.15|0.01|Simbad 2000A&A...355L..27H|2000A&A...355L..27H|null|null|null|null|null|null|null|null|6.133|0.021|TIC|2019AJ....158..138S|5.606|0.031|TIC|2019AJ....158..138S|5.531|0.027|TIC|2019AJ....158..138S|7.051|0.031|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|0|K0|1993yCat.3135....0C|0|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|0|null|null|null|null|null|0.195793|8.487093|197038672748747264|0.195793|8.487093|197038672748747264|1|0|AB|0.4|0.009999999999999787|null|null|null|0|null
TIC 92357813|51.968372|-19.804493|null|null|92357813|5101578445000656128|null|16134|2MASS J03275236-1948165|5876-00955-1|null|HD  21531|tic_bright|538.91|2.0|306.82|2.0|TIC tic7|2019AJ....158..138S|10.995|null|Simbad 2010MNRAS.403.1949K|2010MNRAS.403.1949K|9.712|null|Simbad 2010MNRAS.403.1949K|2010MNRAS.403.1949K|8.367|null|Simbad 2010MNRAS.403.1949K|2010MNRAS.403.1949K|7.548|null|Simbad 2010MNRAS.403.1949K|2010MNRAS.403.1949K|6.818|null|Simbad 2010MNRAS.403.1949K|2010MNRAS.403.1949K|5.888|0.017|TIC|2019AJ....158..138S|5.251|0.024|TIC|2019AJ....158..138S|5.068|0.021|TIC|2019AJ....158..138S|7.053|0.028|null|null|null|null|null|null|null|null|80.04|0.99|Simbad 2007A&A...474..653V|2007A&A...474..653V|12.49|0.15|Simbad 2010MNRAS.403.1949K|2010MNRAS.403.1949K|0|K5V|1988MSS...C04....0H|1|4231.0|50.0|Pastel|2022A&A...663A...4S|4.342868014697077|0.06409667329840735|calculated_from_M_and_R|Calculated Value|4.67|0.1|Pastel|2022A&A...663A...4S|0.42|0.05|Pastel|2022A&A...663A...4S|-0.6237011694152229|0.03417961779986804|update McDonald2017|2017MNRAS.471..770M|0.9076449788975935|0.0416637462239992|calc_from_L_and_Teff|Calculated Value|0.6616562304128198|0.07646021409044107|TIC_teff_mass_relation|Calculated Value|0|null|null|null|null|null|9.908948|7.812197|5101578445000656128|9.908948|7.812197|5101578445000656128|0|0|null|null|null|null|null|null|0|null
TIC 1179719919|229.25129664972|-9.38299968567|229.25128229269|-9.38300332857|1179719919|6319542659459349120|6319542659461082752|74785|2MASS J15170043-0922584|5585-1014-1||* bet Lib|tic_bright|-98.1|0.18000000715255737|-19.65|0.15000000596046448|Simbad 2007A&A...474..653V|2007A&A...474..653V|2.140000104904175|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|2.509999990463257|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|2.619999885559082|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|2.6700000762939453|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|2.759999990463257|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|2.7699999809265137|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|2.799999952316284|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|2.819999933242798|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|7.091|0.6|2.634658|0.007793|gaia_dr3|2023A&A...674A...1G|3.076019|0.050642|2.726353|0.021403|null|null|null|null|null|null|null|null|0|B8Vn|1965MNRAS.130..281B|0|13250.0|null|Simbad 1995A&AS..110..553S|1995A&AS..110..553S|3.8288505017238195|null|calculated_from_M_and_R|Calculated Value|null|null|null|null|null|null|null|null|2.615919555331517|0.4342944819032518|McDonald2017|2017MNRAS.471..770M|3.856387495410656|null|calc_from_L_and_Teff|Calculated Value|3.6571620656402883|0.43450319150017463|TIC_teff_mass_relation|Calculated Value|1|null|null|null|null|1.0|null|null|null|null|null|null|1|0|null|null|null|null|null|null|0|null
TIC 871982|130.466528|-28.20424|null|null|871982|null|null|null|2MASS J08415196-2812152|6583-00028-1|WDS J08419-2812AB|HD  74233|tic_bright|-17.3|1.5|3.6|1.5|TIC tic7|2019AJ....158..138S|null|null|null|null|9.17|0.02|Simbad 2000A&A...355L..27H|2000A&A...355L..27H|8.95|0.01|Simbad 2000A&A...355L..27H|2000A&A...355L..27H|null|null|null|null|null|null|null|null|8.458|0.024|TIC|2019AJ....158..138S|8.422|0.023|TIC|2019AJ....158..138S|8.402|0.025|TIC|2019AJ....158..138S|7.096|0.015|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|0|A4IV/V|1982MSS...C03....0H|1|7744.761759083211|null|Pecaut_and_Mamajek_2013|Calculated Value|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|0|null|null|null|null|null|0.234861|9.459059|5645896314900766208|0.234861|9.459059|5645896314900766208|1|0|AB|3.5|6.02|null|null|null|0|null
TIC 408816164|121.09686173551|12.28907404527|null|null|408816164|653032704866192768|null|39495|2MASS J08042313+1217226|0789-00762-1|WDS J08044+1217AB|HD  66509|tic_bright|78.06|1.81|-148.05|1.96|Simbad 2007A&A...474..653V|2007A&A...474..653V|null|null|null|null|8.6|0.0|TIC apassdr9|2019AJ....158..138S|7.82|0.03|TIC hipvmag|2019AJ....158..138S|null|null|null|null|null|null|null|null|6.249|0.018|TIC|2019AJ....158..138S|5.83|0.031|TIC|2019AJ....158..138S|5.734|0.02|TIC|2019AJ....158..138S|7.115|0.007|7.65428|null|null|null|8.04167|null|6.99508|null|30.12|1.43|Simbad 2007A&A...474..653V|2007A&A...474..653V|33.200531208499335|1.5762536397129498|Simbad plx 2007A&A...474..653V|2007A&A...474..653V|0|K0V|1981ApJS...45..437A|1|5141.0|null|TIC|2019AJ....158..138S|4.274725421375128|null|calculated_from_M_and_R|Calculated Value|null|null|null|null|-0.4|null|gcs_reanalysis|2011A&A...530A.138C|-0.11349338222780363|null|gcs_Fbol|Calculated Value|1.1061416517703868|null|calc_from_L_and_Teff|Calculated Value|0.84|0.020000000000000018|gcs_reanalysis|2011A&A...530A.138C|0|12.38|1.7650000000000006|gcs_reanalysis|2011A&A...530A.138C|null|0.214549|8.262668|653032704866878464|0.214549|8.262668|653032704866878464|1|0|AB|0.5|0.3699999999999992|null|null|null|0|null
TIC 506798310|276.33723269637|-20.54170256798|null|null|506798310|4091210409677972992|null|null|null|6274-1663-2|WDS J18254-2033B|*  21 Sgr B|tic_bright|20.1|3.4|-22.7|3.2|Simbad 2000A&A...355L..27H|2000A&A...355L..27H|null|null|null|null|7.68|0.02|Simbad 2000A&A...355L..27H|2000A&A...355L..27H|7.39|0.01|Simbad 2000A&A...355L..27H|2000A&A...355L..27H|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|7.132|0.039|7.26438|null|null|null|6.1386|null|5.86874|null|null|null|null|null|null|null|null|null|0|null|null|0|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|0|null|null|null|null|null|1.585339|4.336602|4091210409716888704|1.585339|4.336602|4091210409716888704|1|0|B|1.7|-2.3999999999999995|null|null|null|0|null
TIC 414587194|336.9978|57.6959|336.9913860924365|57.69410078047842|414587194|null|2007876324472098432|null|2MASS J22275958+5741453|3991-92-2|WDS J22280+5742B|HD 239960B|tic_near|-870.0|8.0|-471.0|8.0|TIC tic7|2019AJ....158..138S|null|null|null|null|null|null|null|null|9.59|0.1|TIC cdwrf|2019AJ....158..138S|null|null|null|null|null|null|null|null|5.575|0.027|TIC|2019AJ....158..138S|5.038|0.034|TIC|2019AJ....158..138S|4.777|0.029|TIC|2019AJ....158..138S|7.151|0.035|9.980164527893066|0.004565913099805257|gaia_dr3|2023A&A...674A...1G|10.837820053100586|0.13143165140420476|7.515682697296143|0.0805101382820285|249.9668|0.7414|Simbad 2018yCat.1345....0G|2018yCat.1345....0G|4.0005|0.0118|Simbad 2018yCat.1345....0G|2018yCat.1345....0G|0|M4V|2002AJ....123.2002H|1|3620.0|null|Simbad 1998MNRAS.299..753Z|1998MNRAS.299..753Z|5.431581268260548|null|calculated_from_M_and_R|Calculated Value|null|null|null|null|-0.25|null|Simbad 1998MNRAS.299..753Z|1998MNRAS.299..753Z|-2.29687579435678|null|update_TIC|Calculated Value|0.18063321284257294|null|calc_from_L_and_Teff|Calculated Value|0.3214466130599901|0.007166802478349543|Mann2019|Calculated Value|0|null|null|null|null|null|1.420096|8.669386|2007876324466455040|1.420096|8.669386|2007876324466455040|1|1|B|2.1|-1.4800000000000004|null|null|null|0|null
TIC 289643770|263.73417450561|12.55903982525|null|null|289643770|null|null|86032|2MASS J17345606+1233361|1000-02508-1|WDS J17349+1234AB|* alf Oph|tic_bright|108.07|0.87|-221.57|0.8|Simbad 2007A&A...474..653V|2007A&A...474..653V|2.32|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|2.22|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|2.07|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|1.93|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|1.85|null|Simbad 2002yCat.2237....0D|2002yCat.2237....0D|1.833|0.28|TIC|2019AJ....158..138S|1.718|0.176|TIC|2019AJ....158..138S|1.683|0.206|TIC|2019AJ....158..138S|7.179|0.048|null|null|null|null|null|null|null|null|67.13|1.06|Simbad 2007A&A...474..653V|2007A&A...474..653V|14.896469536719799|0.2352190929379262|Simbad plx 2007A&A...474..653V|2007A&A...474..653V|0|A5IVnn|2001AJ....121.2148G|0|7899.2|null|TIC|2019AJ....158..138S|3.8748137485786955|null|calculated_from_M_and_R|Calculated Value|null|null|null|null|null|null|null|null|1.3847212118738377|0.33410919152639534|update McDonald2017|2017MNRAS.471..770M|2.629341711330246|null|calc_from_L_and_Teff|Calculated Value|1.889905910915628|0.2926947931793504|TIC_teff_mass_relation|Calculated Value|1|null|null|null|null|null|null|null|null|null|null|null|1|0|AB|0.3|2.9|null|null|null|0|null
